topic_id,author_count,tweet_count,avg_likes
0,455,564,937.6243291592128
1,319,450,856.1498881431768
2,125,261,128.42537313432837
3,330,382,677.0055865921788
4,303,446,924.8224719101123
5,510,582,465.68936170212766
6,488,518,1496.6068548387098
7,346,407,64.84645669291339
8,437,619,740.093851132686
