term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975],model
Intercept,0.5575979105466597,0.09729588843535893,5.730950397941168,5.410065586159939e-08,0.3653293168744236,0.7498665042188959,WLS_Inequality_Gini
C(high_level_category)[T.vaccine],-0.23395026537233812,0.03500745332030672,-6.682870165726421,4.4571170661560993e-10,-0.303129281322366,-0.16477124942231025,WLS_Inequality_Gini
month_index,0.001482522182529184,0.001291815026304438,1.1476272936461436,0.25297417527133864,-0.001070262548525836,0.004035306913584204,WLS_Inequality_Gini
C(high_level_category)[T.vaccine]:month_index,-0.00038088077644220073,0.0017025989108110852,-0.2237055210265326,0.8232949474634669,-0.0037454247816805725,0.0029836632287961714,WLS_Inequality_Gini
np.log(n_authors),0.06796313633944245,0.03014973393777713,2.254186935105445,0.02565277074508646,0.008383568928844363,0.12754270375004054,WLS_Inequality_Gini
