gini,top1_share,top5_share,hhi,effective_authors,n_authors,total_likes,topic_id,topic_label,high_level_category,month_str,is_stable
0.3076370256803373,0.32081257186661555,0.32081257186661555,0.17890734390684956,5.589485474227726,8,2609.0,0,Vaccine Mandates & Work,vaccine,2020-01,False
0.40384615384615385,0.5988063660477454,0.5988063660477454,0.41890025962329996,2.387203103906547,4,1508.0,0,Vaccine Mandates & Work,vaccine,2020-02,False
0.0,1.0,1.0,1.0,1.0,1,179.0,0,Vaccine Mandates & Work,vaccine,2020-03,False
0.4622848200312989,0.6259780907668232,0.6259780907668232,0.42880356386274526,2.332070169827431,5,2556.0,0,Vaccine Mandates & Work,vaccine,2020-04,False
0.20597701149425288,0.4827586206896552,0.4827586206896552,0.3812166468489893,2.6231803051248397,3,725.0,0,Vaccine Mandates & Work,vaccine,2020-05,False
0.4569377990430622,0.9569377990430622,0.9569377990430622,0.9175843043886358,1.0898181183104214,2,8151.0,0,Vaccine Mandates & Work,vaccine,2020-06,False
0.3125925925925926,0.8125925925925926,0.8125925925925926,0.6954282578875173,1.4379628504565973,2,1350.0,0,Vaccine Mandates & Work,vaccine,2020-07,False
0.4708945672801094,0.40160642570281124,0.40160642570281124,0.254598203178437,3.927757492063456,7,3237.0,0,Vaccine Mandates & Work,vaccine,2020-08,False
0.3261731658955717,0.8261731658955717,0.8261731658955717,0.7127778683006802,1.4029616300855137,2,3026.0,0,Vaccine Mandates & Work,vaccine,2020-09,False
0.37618116650374717,0.46480938416422285,0.46480938416422285,0.2833600406677694,3.529079109543424,6,2046.0,0,Vaccine Mandates & Work,vaccine,2020-10,False
0.5408527870414483,0.7146260123868509,0.7146260123868509,0.5506560555050034,1.816015623550904,4,2099.0,0,Vaccine Mandates & Work,vaccine,2020-11,False
0.3416370106761566,0.47076766649720386,0.47076766649720386,0.2994976336806933,3.338924544112228,5,1967.0,0,Vaccine Mandates & Work,vaccine,2020-12,False
0.5522712056967803,0.27895559027002903,0.3700066949341665,0.11911945305430784,8.394934449070123,22,8962.0,0,Vaccine Mandates & Work,vaccine,2021-01,True
0.33265851627886595,0.14460365452872354,0.14460365452872354,0.09038182038783821,11.064171928700832,15,7607.0,0,Vaccine Mandates & Work,vaccine,2021-02,True
