text,replies,retweets,likes,views,author_name,author_handle,publication_time
"A scientist and her team have been working round the clock to create a vaccine to stop the “unprecedented” spread of the deadly coronavirus.

Kate Broderick said it was “absolutely inevitable” that confirmed cases would emerge in Britain
 https://thetimes.co.uk/edition/news/coronavirus-outbreak-two-months-away-from-trial-of-vaccine-2z082h882?utm_medium=Social&utm_source=Twitter#Echobox=1580203844…",22,178,338,0,The Times and The Sunday Times,@thetimes,2020-01-18T04:02:53.000Z
"#FakeScience bill in New Jersey denying freedom for all on #Vaccine Choice has been amended to a bill that says ONLY the RICH can get a shot at exemptions. 

This is what the American Aristocracy wants: Freedom for them, Slavery  for us.

Massive protest in Trenton MON Jan. 13!",15,351,475,0,"Dr.SHIVA Ayyadurai, MIT PhD. Inventor of Email",@va_shiva,2020-01-18T04:02:53.000Z
"With Wuhan virus genetic code in hand, scientists begin work on a vaccine http://bit.ly/2t0ijOe",3,188,539,0,GMA Integrated News,@gmanews,2020-01-18T04:02:53.000Z
"Why work remote?

Focus

Choose a schedule that works best for you

Weave work around life

Work where you’re most comfortable and inspired

Take meetings while walking outside

Choose your equipment 

Save commute time and cost

Use the time saved to enjoy restorative free time",6,45,256,0,Cory House,@housecor,2020-01-18T04:02:53.000Z
"The Hong Kong government has announced that government workers will be allowed to work from home when the holiday period ends on Wednesday. The private sector has also been urged to make similar arrangements, a government spokesman said.",12,68,166,0,CNN,@CNN,2020-01-18T04:02:53.000Z
"The Hong Kong government has announced that government workers will be allowed to work from home when the holiday period ends on Wednesday. The private sector has also been urged to make similar arrangements, a government spokesman said. https://cnn.it/36rIVW0",37,64,191,0,CNN,@CNN,2020-01-18T04:02:53.000Z
"まずい、書き方が下手でデマ拡散に繋がるかもしれないので補足

ワクチン開発はまだできていない
ただアメリカで早くても夏頃に臨床試験に移れるかなって言われてた程度だったのが今回の成果から諸々を共有してもっと早く完成できるやん！ってなったってお話なのでそこだけ注意です",4,1.1K,1.8K,0,みつを先生熟練のお豆腐さん,,2020-01-18T04:02:53.000Z
Research from Stanford proves that work-from-home is now the world's smartest management strategy.,,138,266,0,Inc.,@Inc,2020-01-18T04:02:53.000Z
"Sarkaar and Majlis, make a Gaanoon: 
1. Dhivessakah veveynee vaccine jahaigen. 
2. ID card adhi passport ves hedheynee vaccine jahaigen.
3. Medianet Decoder libeynee ves vaccine jahaigen.
4. Crossroads ah dheveynee ves vaccine jahaigen.

100% will be vaccinated in 1 year. Gerey!",14,53,258,0,@waddey,@waddey,2020-01-18T04:02:53.000Z
Is this real or from a film?  Though the virus is spreading which is scary. The only silver lining is that the genetic sequence is known n vaccine is likely to be developed in weeks.,31,59,280,0,Kiran Mazumdar-Shaw,@kiranshaw,2020-01-18T04:02:53.000Z
".
@gorskon
 I’d actually prefer people watch the entire 2 day event found on this WHO website. The scientists’ statements are even more shocking when you get the full context. I only did a shorter edit for short attention span viewers like you David https://who.int/news-room/events/detail/2019/12/02/default-calendar/global-vaccine-safety-summit…",106,337,803,0,Del Bigtree,@delbigtree,2020-01-18T04:02:53.000Z
"Are you fully vaccinated under the CDC’s Adult Immunization Schedule? 

Yes, you’re supposed to take booster shots. 

Don’t be one of those “anti-vaxxers,” get fully vaccinated!  https://cdc.gov/vaccines/schedules/hcp/imz/adult.html…",196,75,263,0,Cernovich,@Cernovich,2020-01-18T04:02:53.000Z
"#US medical experts: ""#Wuhan virus"" vaccine development takes at least six months. 

#China #Coronavirus",21,90,137,0,Aurora Intel,@AuroraIntel,2020-01-18T04:02:53.000Z
"If you got a flu shot, congratulations!
 
You are now at *increased risk* for #coronavirus 

Enjoy your vaccines, sheep ",13,78,112,0,Kassie,@KassandraKitson,2020-01-18T04:02:53.000Z
"My 93 yr old father died today. He had been living independently until Oct 30th when he got his flu shot.
2 days later he was in the E.R.   5 days later he was put in a nursing home. On Dec. 10th he was placed in hospice care. Today, he died. 

#FluShot",100,139,161,0,Woman of Steel,@WandaBFuller1,2020-01-26T15:52:52.000Z
"Very unlikely. It takes time to discover a #vaccine, and even more time to manufacture and distribute enough doses to vaccinate millions of people.
@WHO
 needs to declare a global health emergency, and worldwide resources need to be mobilized NOW.

#CoronavirusOutbreak #2019_nCoV https://x.com/morrismountain/morrismountain/status/1221859713803018240…",30,107,304,0,"Dena Grayson, MD, PhD drdenagrayson.bsky.social",@DrDenaGrayson,2020-01-26T15:52:52.000Z
Research from Stanford proves that work-from-home is now the world's smartest management strategy. http://on.inc.com/vbL7i3a,,117,249,0,Inc.,@Inc,2020-01-26T15:52:52.000Z
"A thing to keep front and center on Wuhan: Many people work 6 days a week, 12 hours a day, or more,
so that once a year they can go home for Spring Festival. This is a public health disaster and also a big heartbreak for millions and millions of Chinese families who live apart.",26,628,1.6K,0,Emily Rauhala,@emilyrauhala,2020-01-26T15:52:52.000Z
"東日本大震災以降、従業員が在宅勤務できる体制を整えてきたGMOインターネット。新型肺炎を受け、日本国内の9割にあたる約4000人を2週間めどに在宅勤務にします。
https://s.nikkei.com/2tIaw8b",9,290,462,0,日本経済新聞 電子版（日経電子版）,@nikkei,2020-01-26T15:52:52.000Z
"Vaccination support efforts to tackle our biggest global health challenges:
- Healthy ageing: Preventing flu, pneumonia and shingles
- Polio: Eradicating a lethal disease 
- AMR: Reduce bacterial infections; reducing the use of antibiotics 
https://youtube.com/watch?v=sYCyP37ASsE&…",2,40,152,0,VaccinesToday,@VaccinesToday,2020-01-26T15:52:52.000Z
"確かに。

しくじったのは、その時の社会の責任者で、就職氷河期世代は被害者でしかない。あえて言えば「しくじり被害世代」。

しくじった当の本人達は、年金生活が享受できている。",1,88,179,0,Mtodo fully pfizered! 酒のつまみに年中「おせち料理」を,@Mtodo,2020-01-26T15:52:52.000Z
The National Institutes of Health is working on a vaccine against the new virus that has infected hundreds and killed four in Asia https://cnn.it/2sIMtoW,39,121,204,0,CNN,@CNN,2020-01-26T15:52:52.000Z
" We held an opt-in pizza night at 
@Remote
. Company paid for pizza for everyone (+whomever they live with), and we hung out in a zoom call. 

Most important outcome was that we established that  on  is the best. 

Turns out, you can do pizza parties without office!",22,23,251,0,Job,@Jobvo,2020-01-26T15:52:52.000Z
"Remote work:
Day to day written team communication - staring at a screen
Video meetings - staring at a screen
Daily design work - staring at a screen
Brainstorming and feedback rounds - staring at a screen

Finding time away from screens before and after work is *so* important.",18,48,340,0,Alex,@alexmuench,2020-01-26T15:52:52.000Z
