row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
43,XIAMEN UNIVERSITY,278451,,29.42212595097210481825866441251056635672,Institutions,ResearchFields,CHEMISTRY,Chemistry,
44,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),274264,,44.80705767031530795621630452540434569515,Institutions,ResearchFields,CHEMISTRY,Chemistry,
45,STATE UNIVERSITY SYSTEM OF FLORIDA,273633,,27.08165083135391923990498812351543942993,Institutions,ResearchFields,CHEMISTRY,Chemistry,
46,HUNAN UNIVERSITY,272387,,37.34398135453797641897449958870304359748,Institutions,ResearchFields,CHEMISTRY,Chemistry,
47,DALIAN UNIVERSITY OF TECHNOLOGY,269608,,23.78964087179034677490514426894908673785,Institutions,ResearchFields,CHEMISTRY,Chemistry,
48,SHANDONG UNIVERSITY,260305,,21.90197728228859907446360959192259150189,Institutions,ResearchFields,CHEMISTRY,Chemistry,
49,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,248719,,26.72386375846137315998710647899430536156,Institutions,ResearchFields,CHEMISTRY,Chemistry,
50,KING ABDULAZIZ UNIVERSITY,247089,,36.80753761358558021748845523610904215701,Institutions,ResearchFields,CHEMISTRY,Chemistry,
51,WUHAN UNIVERSITY,246355,,29.48240785064624222115844901866921972236,Institutions,ResearchFields,CHEMISTRY,Chemistry,
52,HARBIN INSTITUTE OF TECHNOLOGY,246308,,24.58163672654690618762475049900199600798,Institutions,ResearchFields,CHEMISTRY,Chemistry,
53,KYOTO UNIVERSITY,240249,,23.42978349912229373902867173785839672323,Institutions,ResearchFields,CHEMISTRY,Chemistry,
54,FUZHOU UNIVERSITY,238722,,30.68011823673049736537720087392366019792,Institutions,ResearchFields,CHEMISTRY,Chemistry,
55,UNIVERSITY OF CAMBRIDGE,236116,,38.5306788511749347258485639686684073107,Institutions,ResearchFields,CHEMISTRY,Chemistry,
56,NANJING TECH UNIVERSITY,235451,,24.0673617499744454666257794132679137279,Institutions,ResearchFields,CHEMISTRY,Chemistry,
57,PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION (PCSHE),233236,,30.5402645017677098337043341626293047008,Institutions,ResearchFields,CHEMISTRY,Chemistry,
58,UNIVERSITY OF LONDON,231804,,26.38934426229508196721311475409836065574,Institutions,ResearchFields,CHEMISTRY,Chemistry,
59,NORTHWESTERN UNIVERSITY,230638,,50.09513466550825369244135534317984361425,Institutions,ResearchFields,CHEMISTRY,Chemistry,
60,UNIVERSITY OF TOKYO,227305,,23.28229027962716378162450066577896138482,Institutions,ResearchFields,CHEMISTRY,Chemistry,
61,CENTRAL SOUTH UNIVERSITY,225872,,23.98046501751778320416180061577662172205,Institutions,ResearchFields,CHEMISTRY,Chemistry,
62,ISLAMIC AZAD UNIVERSITY,224963,,18.4820078869536641472231350640814985212,Institutions,ResearchFields,CHEMISTRY,Chemistry,
63,ETH ZURICH,221413,,32.09349181040730540658066386432816350196,Institutions,ResearchFields,CHEMISTRY,Chemistry,
64,XI'AN JIAOTONG UNIVERSITY,221171,,21.90028715714427171007030399049410832756,Institutions,ResearchFields,CHEMISTRY,Chemistry,
65,UNIVERSITY SYSTEM OF GEORGIA,215164,,29.08407677750743444174101108407677750743,Institutions,ResearchFields,CHEMISTRY,Chemistry,
66,"SHANGHAI INSTITUTE OF ORGANIC CHEMISTRY, CAS",206587,,31.66569589209074187614960147148988350705,Institutions,ResearchFields,CHEMISTRY,Chemistry,
67,KING SAUD UNIVERSITY,204433,,15.33745967439417810788506264535974191612,Institutions,ResearchFields,CHEMISTRY,Chemistry,
68,"CHANGCHUN INSTITUTE OF APPLIED CHEMISTRY, CAS",201073,,29.42244659057652911911033069944395668715,Institutions,ResearchFields,CHEMISTRY,Chemistry,
69,UNIVERSITY OF OXFORD,200402,,30.70353914508962770032174046269342730198,Institutions,ResearchFields,CHEMISTRY,Chemistry,
70,HARVARD UNIVERSITY,200258,,38.43723608445297504798464491362763915547,Institutions,ResearchFields,CHEMISTRY,Chemistry,
71,BEIJING INSTITUTE OF TECHNOLOGY,197540,,24.11671346599926748870711756806250763033,Institutions,ResearchFields,CHEMISTRY,Chemistry,
72,JIANGSU UNIVERSITY,195898,,24.68472782258064516129032258064516129032,Institutions,ResearchFields,CHEMISTRY,Chemistry,
73,IMPERIAL COLLEGE LONDON,194797,,31.45946382428940568475452196382428940568,Institutions,ResearchFields,CHEMISTRY,Chemistry,
74,ARGONNE NATIONAL LABORATORY,191043,,41.48599348534201954397394136807817589577,Institutions,ResearchFields,CHEMISTRY,Chemistry,
75,CHINA UNIVERSITY OF PETROLEUM,190463,,19.03868452618952419032387045181927229108,Institutions,ResearchFields,CHEMISTRY,Chemistry,
76,UNIVERSITY OF ILLINOIS SYSTEM,187894,,31.97107367704611196188531563722987919006,Institutions,ResearchFields,CHEMISTRY,Chemistry,
77,WUHAN UNIVERSITY OF TECHNOLOGY,186333,,36.11804613297150610583446404341926729986,Institutions,ResearchFields,CHEMISTRY,Chemistry,
78,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,182467,,37.55237703231117513891747273101461206009,Institutions,ResearchFields,CHEMISTRY,Chemistry,
79,KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,180185,,46.34387860082304526748971193415637860082,Institutions,ResearchFields,CHEMISTRY,Chemistry,
80,UNIVERSITE PARIS SACLAY,180156,,18.92196197878374120365507824808318453944,Institutions,ResearchFields,CHEMISTRY,Chemistry,
81,UNIVERSITY OF MANCHESTER,178973,,30.1352079474659033507324465398215187742,Institutions,ResearchFields,CHEMISTRY,Chemistry,
82,UNIVERSITY OF TORONTO,178912,,36.18038422649140546006066734074823053589,Institutions,ResearchFields,CHEMISTRY,Chemistry,
83,STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM,175281,,30.75105263157894736842105263157894736842,Institutions,ResearchFields,CHEMISTRY,Chemistry,
84,LANZHOU UNIVERSITY,173940,,24.9126324835290747636780292179891148668,Institutions,ResearchFields,CHEMISTRY,Chemistry,
85,CHONGQING UNIVERSITY,172365,,22.95445465441470235717139432680783060328,Institutions,ResearchFields,CHEMISTRY,Chemistry,
86,SOUTHEAST UNIVERSITY - CHINA,171672,,21.99513132607303010890454836643177450352,Institutions,ResearchFields,CHEMISTRY,Chemistry,
87,NATIONAL INSTITUTE OF TECHNOLOGY (NIT SYSTEM),171243,,15.98161455902939804013065795613625758283,Institutions,ResearchFields,CHEMISTRY,Chemistry,
88,MONASH UNIVERSITY,167875,,30.16621743036837376460017969451931716083,Institutions,ResearchFields,CHEMISTRY,Chemistry,
89,SHENZHEN UNIVERSITY,164432,,27.70547598989048020219039595619208087616,Institutions,ResearchFields,CHEMISTRY,Chemistry,
90,EAST CHINA NORMAL UNIVERSITY,164390,,30.3302583025830258302583025830258302583,Institutions,ResearchFields,CHEMISTRY,Chemistry,
91,"FUJIAN INSTITUTE OF RESEARCH ON THE STRUCTURE OF MATTER, CAS",163996,,29.42687959806208505293378790597523775345,Institutions,ResearchFields,CHEMISTRY,Chemistry,
92,STATE KEY LABORATORY SURFACTANT FINE CHEMISTRY,160347,,28.46059637912673056443024494142705005325,Institutions,ResearchFields,CHEMISTRY,Chemistry,
93,UNIVERSITY OF TEXAS AUSTIN,160208,,37.0766026382781763480675769497801434853,Institutions,ResearchFields,CHEMISTRY,Chemistry,
94,SORBONNE UNIVERSITE,159705,,22.6082955832389580973952434881087202718,Institutions,ResearchFields,CHEMISTRY,Chemistry,
95,UNIVERSITY COLLEGE LONDON,159632,,27.94677871148459383753501400560224089636,Institutions,ResearchFields,CHEMISTRY,Chemistry,
96,UNIVERSITY OF NEW SOUTH WALES SYDNEY,158810,,34.13066838598753492370513647109391790243,Institutions,ResearchFields,CHEMISTRY,Chemistry,
97,UNIVERSITY OF WISCONSIN SYSTEM,158725,,31.5996416484172805096555843121640453912,Institutions,ResearchFields,CHEMISTRY,Chemistry,
98,UNIV BRETAGNE LOIRE,156447,,19.56321120420157559084656746279854945605,Institutions,ResearchFields,CHEMISTRY,Chemistry,
99,UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES,155836,,25.79639132593941400430392319152458202284,Institutions,ResearchFields,CHEMISTRY,Chemistry,
100,GEORGIA INSTITUTE OF TECHNOLOGY,155727,,36.5127784290738569753810082063305978898,Institutions,ResearchFields,CHEMISTRY,Chemistry,
101,KARLSRUHE INSTITUTE OF TECHNOLOGY,155671,,21.97811661725257659183961598192856134406,Institutions,ResearchFields,CHEMISTRY,Chemistry,
102,POLISH ACADEMY OF SCIENCES,153686,,15.82434102141680395387149917627677100494,Institutions,ResearchFields,CHEMISTRY,Chemistry,
103,TEXAS A&M UNIVERSITY SYSTEM,153372,,28.06954612005856515373352855051244509517,Institutions,ResearchFields,CHEMISTRY,Chemistry,
104,OAK RIDGE NATIONAL LABORATORY,153019,,32.32340515420363329108576256865230249261,Institutions,ResearchFields,CHEMISTRY,Chemistry,
105,ZHEJIANG UNIVERSITY OF TECHNOLOGY,152991,,20.74454237288135593220338983050847457627,Institutions,ResearchFields,CHEMISTRY,Chemistry,
106,TECHNICAL UNIVERSITY OF MUNICH,150983,,25.94209621993127147766323024054982817869,Institutions,ResearchFields,CHEMISTRY,Chemistry,
107,LEIBNIZ ASSOCIATION,150035,,25.02668890742285237698081734778982485405,Institutions,ResearchFields,CHEMISTRY,Chemistry,
108,SEOUL NATIONAL UNIVERSITY (SNU),150003,,24.19793515083077915792869817712534279723,Institutions,ResearchFields,CHEMISTRY,Chemistry,
109,SHANGHAI UNIVERSITY,146652,,23.59646017699115044247787610619469026549,Institutions,ResearchFields,CHEMISTRY,Chemistry,
110,UNIVERSITY OF MICHIGAN SYSTEM,146366,,31.23474178403755868544600938967136150235,Institutions,ResearchFields,CHEMISTRY,Chemistry,
111,KU LEUVEN,146330,,26.18178565038468420110932188226874217212,Institutions,ResearchFields,CHEMISTRY,Chemistry,
112,TEXAS A&M UNIVERSITY COLLEGE STATION,146195,,29.239,Institutions,ResearchFields,CHEMISTRY,Chemistry,
113,UNIVERSITY OF MICHIGAN,145951,,31.44140456699698405859543300301594140457,Institutions,ResearchFields,CHEMISTRY,Chemistry,
114,QINGDAO UNIVERSITY OF SCIENCE & TECHNOLOGY,145700,,20.26989426822481914301613800779076238175,Institutions,ResearchFields,CHEMISTRY,Chemistry,
115,SOUTHERN UNIVERSITY OF SCIENCE & TECHNOLOGY,144070,,28.68777379530067702110712863401035444046,Institutions,ResearchFields,CHEMISTRY,Chemistry,
116,JAPAN SCIENCE & TECHNOLOGY AGENCY (JST),143551,,32.69954441913439635535307517084282460137,Institutions,ResearchFields,CHEMISTRY,Chemistry,
117,UNIVERSITY OF WISCONSIN MADISON,143451,,33.75317647058823529411764705882352941176,Institutions,ResearchFields,CHEMISTRY,Chemistry,
118,UNIVERSITY OF OSAKA,142533,,17.80327254559080689482887834124406694979,Institutions,ResearchFields,CHEMISTRY,Chemistry,
119,ACADEMY OF SCIENTIFIC & INNOVATIVE RESEARCH (ACSIR),141853,,17.77829301917533525504449179095124702344,Institutions,ResearchFields,CHEMISTRY,Chemistry,
120,UNIVERSITY OF CALIFORNIA LOS ANGELES,141419,,35.81134464421372499366928336287667763991,Institutions,ResearchFields,CHEMISTRY,Chemistry,
121,KOREA UNIVERSITY,140900,,26.48496240601503759398496240601503759398,Institutions,ResearchFields,CHEMISTRY,Chemistry,
122,AGENCY FOR SCIENCE TECHNOLOGY & RESEARCH (A*STAR),140862,,43.57005876894525208784410763996288277142,Institutions,ResearchFields,CHEMISTRY,Chemistry,
123,NORTHWESTERN POLYTECHNICAL UNIVERSITY,140071,,24.88381595310001776514478593000532954344,Institutions,ResearchFields,CHEMISTRY,Chemistry,
124,RWTH AACHEN UNIVERSITY,139871,,25.55655033802302210853279736890188196601,Institutions,ResearchFields,CHEMISTRY,Chemistry,
125,UNIVERSITE DE STRASBOURG,139807,,25.88539159414923162377337530087020922051,Institutions,ResearchFields,CHEMISTRY,Chemistry,
126,UNIVERSITY OF GOTTINGEN,137879,,49.91998551774076755973931933381607530775,Institutions,ResearchFields,CHEMISTRY,Chemistry,
127,PURDUE UNIVERSITY SYSTEM,137491,,26.47112052368117058144012321909896033885,Institutions,ResearchFields,CHEMISTRY,Chemistry,
128,UNIVERSITY OF MINNESOTA SYSTEM,137246,,30.04509632224168126094570928196147110333,Institutions,ResearchFields,CHEMISTRY,Chemistry,
129,UNIVERSITY OF QUEENSLAND,136827,,30.42628418945963975983989326217478318879,Institutions,ResearchFields,CHEMISTRY,Chemistry,
130,PURDUE UNIVERSITY,136821,,26.64479065238558909444985394352482960078,Institutions,ResearchFields,CHEMISTRY,Chemistry,
131,UNIVERSITY OF SCIENCE & TECHNOLOGY BEIJING,136767,,22.64729259811227024341778440139095876801,Institutions,ResearchFields,CHEMISTRY,Chemistry,
132,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,135003,,33.1865781710914454277286135693215339233,Institutions,ResearchFields,CHEMISTRY,Chemistry,
133,UNIVERSITE PSL,134501,,27.96860054065294239966729049698482012892,Institutions,ResearchFields,CHEMISTRY,Chemistry,
134,TECHNICAL UNIVERSITY OF DENMARK,133672,,30.50479233226837060702875399361022364217,Institutions,ResearchFields,CHEMISTRY,Chemistry,
135,PACIFIC NORTHWEST NATIONAL LABORATORY,133508,,36.06374932468935710426796326310102647218,Institutions,ResearchFields,CHEMISTRY,Chemistry,
136,CZECH ACADEMY OF SCIENCES,133289,,16.01261412782316194137433925997116770783,Institutions,ResearchFields,CHEMISTRY,Chemistry,
137,UNIVERSITY OF MINNESOTA TWIN CITIES,131837,,30.4122260668973471741637831603229527105,Institutions,ResearchFields,CHEMISTRY,Chemistry,
138,CALIFORNIA INSTITUTE OF TECHNOLOGY,131500,,44.24629878869448183041722745625841184388,Institutions,ResearchFields,CHEMISTRY,Chemistry,
139,HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY,131365,,41.19316400125431169645656945751019128253,Institutions,ResearchFields,CHEMISTRY,Chemistry,
140,KOREA ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY (KAIST),131285,,29.95322838238649326945014830025096965549,Institutions,ResearchFields,CHEMISTRY,Chemistry,
141,TONGJI UNIVERSITY,131179,,23.90723528339712046655731729542555130308,Institutions,ResearchFields,CHEMISTRY,Chemistry,
142,NATIONAL TAIWAN UNIVERSITY,130454,,23.76211293260473588342440801457194899818,Institutions,ResearchFields,CHEMISTRY,Chemistry,
143,SLAC NATIONAL ACCELERATOR LABORATORY,129592,,67.18092275790565059616381544841886988077,Institutions,ResearchFields,CHEMISTRY,Chemistry,
144,UNIVERSITY OF ELECTRONIC SCIENCE & TECHNOLOGY OF CHINA,129467,,28.31736657917760279965004374453193350831,Institutions,ResearchFields,CHEMISTRY,Chemistry,
145,CORNELL UNIVERSITY,128493,,35.62323260327141668976989187690601607984,Institutions,ResearchFields,CHEMISTRY,Chemistry,
146,UNIVERSIDADE DE SAO PAULO,127397,,15.8532852165256346441015430562468889995,Institutions,ResearchFields,CHEMISTRY,Chemistry,
147,JIANGNAN UNIVERSITY,126029,,19.55757293606455617628801986343885785227,Institutions,ResearchFields,CHEMISTRY,Chemistry,
148,CITY UNIVERSITY OF HONG KONG,125068,,32.70606694560669456066945606694560669456,Institutions,ResearchFields,CHEMISTRY,Chemistry,
149,INSTITUTE OF SCIENCE TOKYO,124268,,18.76593174267592872244035034732709151314,Institutions,ResearchFields,CHEMISTRY,Chemistry,
150,UNIVERSITY OF CALIFORNIA SAN DIEGO,123666,,34.98330975954738330975954738330975954738,Institutions,ResearchFields,CHEMISTRY,Chemistry,
151,UNIV LYON COMUE,123643,,20.40987124463519313304721030042918454936,Institutions,ResearchFields,CHEMISTRY,Chemistry,
152,UNIVERSITY OF BASQUE COUNTRY,123191,,23.30514566780174044646235338630344305713,Institutions,ResearchFields,CHEMISTRY,Chemistry,
153,BEIHANG UNIVERSITY,122945,,31.67053065430190623390005151983513652756,Institutions,ResearchFields,CHEMISTRY,Chemistry,
154,LOMONOSOV MOSCOW STATE UNIVERSITY,122908,,10.63493986328631997923336506013671368002,Institutions,ResearchFields,CHEMISTRY,Chemistry,
155,PENNSYLVANIA STATE UNIVERSITY,122861,,31.9285343035343035343035343035343035343,Institutions,ResearchFields,CHEMISTRY,Chemistry,
156,NANJING UNIVERSITY OF SCIENCE & TECHNOLOGY,122147,,21.16932409012131715771230502599653379549,Institutions,ResearchFields,CHEMISTRY,Chemistry,
157,GHENT UNIVERSITY,121748,,25.942467504794374600468783294268058811,Institutions,ResearchFields,CHEMISTRY,Chemistry,
