row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
36,UNIVERSITY OF WASHINGTON,109850,,22.94756632546480050135784416127010653854,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
37,UNIVERSITY OF PITTSBURGH,109405,,22.96976695360067184547554062565609909721,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
38,UNIVERSITY OF GRONINGEN,109128,,22.54710743801652892561983471074380165289,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
39,UNIVERSITY OF WASHINGTON SEATTLE,107285,,23.27223427331887201735357917570498915401,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
40,JOHNS HOPKINS UNIVERSITY,103836,,20.1545031055900621118012422360248447205,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
41,UNIVERSITY OF QUEENSLAND,103678,,23.22535842293906810035842293906810035842,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
42,UNIVERSITY OF BRITISH COLUMBIA,103331,,22.27441258892002586764388876913127829274,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
43,UNIVERSITY OF ILLINOIS SYSTEM,103319,,21.16758860889162056955541897152222905142,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
44,UNIVERSITY SYSTEM OF GEORGIA,102311,,18.55140525838621940163191296464188576609,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
45,UNIVERSITY OF MINNESOTA SYSTEM,101526,,21.45519864750633981403212172442941673711,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
46,UNIVERSITY SYSTEM OF MARYLAND,101243,,20.58621390809272061813745424969499796665,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
47,MASSACHUSETTS GENERAL HOSPITAL,100177,,22.84017327861377108983128134974920200638,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
48,UNIVERSITY OF MINNESOTA TWIN CITIES,99590,,21.68771777003484320557491289198606271777,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
49,DUKE UNIVERSITY,99293,,24.86054081121682523785678517776664997496,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
50,CIBER - CENTRO DE INVESTIGACION BIOMEDICA EN RED,99267,,25.12452543659832953682611996962794229309,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
51,NATIONAL INSTITUTES OF HEALTH (NIH) - USA,98112,,33.07889413351314902225219150370869858395,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
52,NORTHWESTERN UNIVERSITY,97992,,22.95432185523541813070976809557273366128,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
53,UNIVERSITY OF SYDNEY,97984,,22.72883321735096265367664115054511714219,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
54,UNIVERSITY OF CALIFORNIA SAN DIEGO,97221,,21.81799820466786355475763016157989228007,Institutions,ResearchFields,PSYCHIATRY/PSYCHOLOGY,Psychiatry/Psychology,
