row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
46,UNIVERSITY OF MICHIGAN SYSTEM,233096,,36.66761050810130564731791725656756331603,Institutions,ResearchFields,PHYSICS,Physics,
47,UNIVERSITY OF MICHIGAN,233056,,36.73065405831363278171788810086682427108,Institutions,ResearchFields,PHYSICS,Physics,
48,UNIVERSITE PSL,229180,,30.75828747819084686619245738827003086834,Institutions,ResearchFields,PHYSICS,Physics,
49,STATE UNIVERSITY OF NEW YORK (SUNY) SYSTEM,224359,,29.31264698197021165403710478181343088581,Institutions,ResearchFields,PHYSICS,Physics,
50,LOMONOSOV MOSCOW STATE UNIVERSITY,221389,,19.51939693175806736025392347028742726151,Institutions,ResearchFields,PHYSICS,Physics,
51,ARGONNE NATIONAL LABORATORY,216965,,32.9583776393741455263557648488531064864,Institutions,ResearchFields,PHYSICS,Physics,
52,UNIVERSITY OF WASHINGTON,212927,,50.04159811985898942420681551116333725029,Institutions,ResearchFields,PHYSICS,Physics,
53,UNIVERSITY OF WISCONSIN SYSTEM,212875,,35.38480718085106382978723404255319148936,Institutions,ResearchFields,PHYSICS,Physics,
54,POLISH ACADEMY OF SCIENCES,212027,,23.0213897937024972855591748099891422367,Institutions,ResearchFields,PHYSICS,Physics,
55,COMMUNAUTE UNIVERSITE GRENOBLE ALPES,211851,,24.3422957600827300930713547052740434333,Institutions,ResearchFields,PHYSICS,Physics,
56,UNIVERSITY OF WASHINGTON SEATTLE,211580,,50.46029096112568566658716909134271404722,Institutions,ResearchFields,PHYSICS,Physics,
57,UNIVERSITE GRENOBLE ALPES (UGA),210392,,24.37067068226572454534924128344723734507,Institutions,ResearchFields,PHYSICS,Physics,
58,IMPERIAL COLLEGE LONDON,210315,,28.4825297941495124593716143011917659805,Institutions,ResearchFields,PHYSICS,Physics,
59,COLUMBIA UNIVERSITY,209922,,50.42565457602690367523420610136920490031,Institutions,ResearchFields,PHYSICS,Physics,
60,ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,209774,,31.74065668028446058405205023452867302164,Institutions,ResearchFields,PHYSICS,Physics,
61,RIKEN,209087,,26.5237853609032094380312063935050107827,Institutions,ResearchFields,PHYSICS,Physics,
62,UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,206460,,37.79934090076894910289271329183449285976,Institutions,ResearchFields,PHYSICS,Physics,
63,NATIONAL RESEARCH CENTRE - KURCHATOV INSTITUTE,205037,,21.45411740085800983572250706288584283771,Institutions,ResearchFields,PHYSICS,Physics,
64,UNIVERSITY COLLEGE LONDON,204719,,32.22906171284634760705289672544080604534,Institutions,ResearchFields,PHYSICS,Physics,
65,KYOTO UNIVERSITY,199854,,22.99551259924059371763893683120469451156,Institutions,ResearchFields,PHYSICS,Physics,
66,UNIVERSITY OF EDINBURGH,198217,,39.25866508219449395919984155278272925332,Institutions,ResearchFields,PHYSICS,Physics,
67,ZHEJIANG UNIVERSITY,194685,,17.44020424617038430529427573233001881215,Institutions,ResearchFields,PHYSICS,Physics,
68,EGYPTIAN KNOWLEDGE BANK (EKB),193558,,16.52364691821751750042683967901656137955,Institutions,ResearchFields,PHYSICS,Physics,
69,DEUTSCHES ELEKTRONEN-SYNCHROTRON (DESY),192868,,29.41406130852524020131157541558639621778,Institutions,ResearchFields,PHYSICS,Physics,
70,SLAC NATIONAL ACCELERATOR LABORATORY,188909,,39.79544975774173161997050768906677901833,Institutions,ResearchFields,PHYSICS,Physics,
71,UNIVERSITY OF PADUA,188681,,34.22474152004353346635225829856702339924,Institutions,ResearchFields,PHYSICS,Physics,
72,INSTITUT POLYTECHNIQUE DE PARIS,187714,,24.86607497681812160551066366406146509471,Institutions,ResearchFields,PHYSICS,Physics,
73,BROOKHAVEN NATIONAL LABORATORY,186592,,31.50827423167848699763593380614657210402,Institutions,ResearchFields,PHYSICS,Physics,
74,CNRS - INSTITUTE OF PHYSICS (INP),186160,,24.85447263017356475300400534045393858478,Institutions,ResearchFields,PHYSICS,Physics,
75,HUAZHONG UNIVERSITY OF SCIENCE & TECHNOLOGY,182862,,18.13027959547888161808447352766210588935,Institutions,ResearchFields,PHYSICS,Physics,
76,UNIVERSITY OF CALIFORNIA SANTA BARBARA,181568,,36.62121823315853166599435256151674062122,Institutions,ResearchFields,PHYSICS,Physics,
77,UNIVERSITY OF TEXAS AUSTIN,178430,,31.6141034727143869596031183557760453579,Institutions,ResearchFields,PHYSICS,Physics,
78,UNIVERSITY OF PISA,177710,,37.89933887822563446363830240989550010663,Institutions,ResearchFields,PHYSICS,Physics,
79,NORTHWESTERN UNIVERSITY,177174,,48.25,Institutions,ResearchFields,PHYSICS,Physics,
80,OHIO STATE UNIVERSITY,175716,,33.86969930609097918272937548188126445644,Institutions,ResearchFields,PHYSICS,Physics,
81,NATIONAL UNIVERSITY OF SINGAPORE,175571,,29.90988074957410562180579216354344122658,Institutions,ResearchFields,PHYSICS,Physics,
82,UNIVERSITY OF HAMBURG,175549,,34.33385487971836495208292587522002738119,Institutions,ResearchFields,PHYSICS,Physics,
83,HUN-REN,175512,,30.66783155687576445919972042634981652979,Institutions,ResearchFields,PHYSICS,Physics,
84,ECOLE POLYTECHNIQUE,174738,,25.30601013758146270818247646632874728458,Institutions,ResearchFields,PHYSICS,Physics,
85,OAK RIDGE NATIONAL LABORATORY,174479,,27.55946927815510977728636866213868267256,Institutions,ResearchFields,PHYSICS,Physics,
86,UNIVERSITY OF NAPLES FEDERICO II,174294,,34.14182174338883447600391772771792360431,Institutions,ResearchFields,PHYSICS,Physics,
87,JOHANNES GUTENBERG UNIVERSITY OF MAINZ,173869,,32.63307057057057057057057057057057057057,Institutions,ResearchFields,PHYSICS,Physics,
88,UK RESEARCH & INNOVATION (UKRI),171160,,31.37096774193548387096774193548387096774,Institutions,ResearchFields,PHYSICS,Physics,
89,CORNELL UNIVERSITY,170851,,40.09645623093170617226003285613705702887,Institutions,ResearchFields,PHYSICS,Physics,
90,UNIVERSITY OF COLORADO SYSTEM,169928,,30.8847691748455107233733187931661214104,Institutions,ResearchFields,PHYSICS,Physics,
91,"INSTITUTE OF PHYSICS, CAS",168755,,23.60539935655336410686809343964190795916,Institutions,ResearchFields,PHYSICS,Physics,
92,UNIVERSITY OF GLASGOW,168736,,41.37714565963707699852869053457577243747,Institutions,ResearchFields,PHYSICS,Physics,
93,UNIVERSITY OF MINNESOTA SYSTEM,167225,,38.70053228419347373293219162230965054386,Institutions,ResearchFields,PHYSICS,Physics,
94,UNIVERSITY OF MUNICH,166172,,34.75674545074252248483580840828278602803,Institutions,ResearchFields,PHYSICS,Physics,
95,NATIONAL RESEARCH NUCLEAR UNIVERSITY MEPHI (MOSCOW ENGINEERING PHYSICS INSTITUTE),165514,,22.14234113712374581939799331103678929766,Institutions,ResearchFields,PHYSICS,Physics,
96,UNIVERSITY OF MINNESOTA TWIN CITIES,165497,,39.05073147711184521000471920717319490326,Institutions,ResearchFields,PHYSICS,Physics,
97,UNIVERSITY OF CALIFORNIA LOS ANGELES,164433,,29.91866812227074235807860262008733624454,Institutions,ResearchFields,PHYSICS,Physics,
98,SCIENCE & TECHNOLOGY FACILITIES COUNCIL (STFC),163928,,32.29472025216706067769897557131599684791,Institutions,ResearchFields,PHYSICS,Physics,
99,UNIVERSITY OF COLORADO BOULDER,163878,,31.67948965783877827179586313551130871835,Institutions,ResearchFields,PHYSICS,Physics,
100,UNIVERSITY OF TORONTO,163553,,41.2595862764883955600403632694248234107,Institutions,ResearchFields,PHYSICS,Physics,
101,UNIVERSITY OF SOUTHAMPTON,163497,,36.26818988464951197870452528837622005324,Institutions,ResearchFields,PHYSICS,Physics,
102,PENNSYLVANIA STATE UNIVERSITY,163329,,38.88785714285714285714285714285714285714,Institutions,ResearchFields,PHYSICS,Physics,
103,KARLSRUHE INSTITUTE OF TECHNOLOGY,163290,,26.5771484375,Institutions,ResearchFields,PHYSICS,Physics,
104,BARCELONA INSTITUTE OF SCIENCE & TECHNOLOGY,162841,,42.48395512653274197756326637098878163319,Institutions,ResearchFields,PHYSICS,Physics,
105,UNIVERSITY OF BIRMINGHAM,162743,,44.23566186463712965479749932046751834738,Institutions,ResearchFields,PHYSICS,Physics,
106,AUTONOMOUS UNIVERSITY OF MADRID,162531,,33.47014003294892915980230642504118616145,Institutions,ResearchFields,PHYSICS,Physics,
107,FOM (THE NETHERLANDS),162355,,49.07950423216444981862152357920193470375,Institutions,ResearchFields,PHYSICS,Physics,
108,STFC RUTHERFORD APPLETON LABORATORY,161845,,32.76214574898785425101214574898785425101,Institutions,ResearchFields,PHYSICS,Physics,
109,SEOUL NATIONAL UNIVERSITY (SNU),161801,,27.85350318471337579617834394904458598726,Institutions,ResearchFields,PHYSICS,Physics,
110,FUDAN UNIVERSITY,161792,,18.89431274086184748335863599205885787691,Institutions,ResearchFields,PHYSICS,Physics,
111,RUPRECHT KARLS UNIVERSITY HEIDELBERG,161265,,32.97852760736196319018404907975460122699,Institutions,ResearchFields,PHYSICS,Physics,
112,PENNSYLVANIA STATE UNIVERSITY - UNIVERSITY PARK,159896,,40.07418546365914786967418546365914786967,Institutions,ResearchFields,PHYSICS,Physics,
113,UNIVERSITY OF WISCONSIN MADISON,158078,,29.34434750324856135140152218303322814182,Institutions,ResearchFields,PHYSICS,Physics,
114,CZECH ACADEMY OF SCIENCES,157739,,22.17927446569178852643419572553430821147,Institutions,ResearchFields,PHYSICS,Physics,
115,JOINT INSTITUTE FOR NUCLEAR RESEARCH - RUSSIA,156817,,19.6660396287935791321795836468522698771,Institutions,ResearchFields,PHYSICS,Physics,
116,TOHOKU UNIVERSITY,155746,,18.97259105859422584967718357899866000731,Institutions,ResearchFields,PHYSICS,Physics,
117,UNIVERSITY OF BOLOGNA,155730,,31.12732360583649810113931641015390765541,Institutions,ResearchFields,PHYSICS,Physics,
118,NATIONAL INSTITUTE FOR MATERIALS SCIENCE,155367,,32.02782931354359925788497217068645640074,Institutions,ResearchFields,PHYSICS,Physics,
119,SUN YAT SEN UNIVERSITY,154322,,19.40424996856532126241669810134540424997,Institutions,ResearchFields,PHYSICS,Physics,
120,NATIONAL INSTITUTE OF STANDARDS & TECHNOLOGY (NIST) - USA,153038,,33.22579244463742943986105080330004342162,Institutions,ResearchFields,PHYSICS,Physics,
121,YALE UNIVERSITY,152794,,35.85030502111684655091506335053965274519,Institutions,ResearchFields,PHYSICS,Physics,
122,UNIV LYON COMUE,152434,,28.01065784638000735023888276368981991915,Institutions,ResearchFields,PHYSICS,Physics,
123,MOSCOW INSTITUTE OF PHYSICS & TECHNOLOGY,151825,,20.17876129718234981392876129718234981393,Institutions,ResearchFields,PHYSICS,Physics,
124,"INSTITUTE OF HIGH ENERGY PHYSICS, CAS",151600,,22.32695139911634756995581737849779086892,Institutions,ResearchFields,PHYSICS,Physics,
125,COLLABORATIVE INNOVATION CENTER OF QUANTUM MATTER,151547,,35.92012325195543967764873192699691870111,Institutions,ResearchFields,PHYSICS,Physics,
126,LOS ALAMOS NATIONAL LABORATORY,151355,,24.09344157911493155046163642152180834129,Institutions,ResearchFields,PHYSICS,Physics,
127,HUN-REN WIGNER RESEARCH CENTRE FOR PHYSICS,151326,,35.85924170616113744075829383886255924171,Institutions,ResearchFields,PHYSICS,Physics,
128,UNIVERSITY OF ROME TOR VERGATA,151316,,39.79905312993161493950552340873224618622,Institutions,ResearchFields,PHYSICS,Physics,
129,UNIVERSITY OF OSAKA,151261,,18.24179932465026531596719729860106126387,Institutions,ResearchFields,PHYSICS,Physics,
130,UNIVERSITY OF BRITISH COLUMBIA,151167,,32.43231066294786526496459987127225917185,Institutions,ResearchFields,PHYSICS,Physics,
131,UNIVERSITY OF CALIFORNIA SAN DIEGO,150918,,29.24767441860465116279069767441860465116,Institutions,ResearchFields,PHYSICS,Physics,
132,TECHNICAL UNIVERSITY OF MUNICH,150388,,24.74300756827903915761763738071734123067,Institutions,ResearchFields,PHYSICS,Physics,
133,FOM NATIONAL INSTITUTE FOR SUBATOMIC PHYSICS,148732,,50.04441453566621803499327052489905787349,Institutions,ResearchFields,PHYSICS,Physics,
134,UNIVERSITY OF GENOA,148359,,36.68620178041543026706231454005934718101,Institutions,ResearchFields,PHYSICS,Physics,
135,UNIVERSITY OF ZURICH,146832,,41.58368734069668649107901444350042480884,Institutions,ResearchFields,PHYSICS,Physics,
136,NANYANG TECHNOLOGICAL UNIVERSITY,145550,,29.55329949238578680203045685279187817259,Institutions,ResearchFields,PHYSICS,Physics,
137,BEIHANG UNIVERSITY,144519,,18.04682817182817182817182817182817182817,Institutions,ResearchFields,PHYSICS,Physics,
138,UNIVERSITY OF MASSACHUSETTS SYSTEM,143619,,38.30861563083488930381435049346492397973,Institutions,ResearchFields,PHYSICS,Physics,
139,PURDUE UNIVERSITY SYSTEM,142976,,27.84342745861733203505355404089581304771,Institutions,ResearchFields,PHYSICS,Physics,
140,UNIVERSITY OF GENEVA,142759,,33.90144858703395867964853953930182854429,Institutions,ResearchFields,PHYSICS,Physics,
141,PURDUE UNIVERSITY,142128,,27.94494691309476995674400314589068029886,Institutions,ResearchFields,PHYSICS,Physics,
142,UNIVERSITY OF MANCHESTER,141799,,27.61959485781067393844955200623295675886,Institutions,ResearchFields,PHYSICS,Physics,
143,ICREA,141417,,45.75121319961177612423164024587512131996,Institutions,ResearchFields,PHYSICS,Physics,
144,UNIVERSITY OF VALENCIA,141308,,35.06401985111662531017369727047146401985,Institutions,ResearchFields,PHYSICS,Physics,
145,NAGOYA UNIVERSITY,140723,,22.76702798899854392493124089953082025562,Institutions,ResearchFields,PHYSICS,Physics,
146,AIX-MARSEILLE UNIVERSITE,139412,,24.98422939068100358422939068100358422939,Institutions,ResearchFields,PHYSICS,Physics,
147,UNIVERSITY OF COPENHAGEN,139163,,34.02518337408312958435207823960880195599,Institutions,ResearchFields,PHYSICS,Physics,
148,UNIVERSITY SYSTEM OF GEORGIA,139142,,32.6777829967120713950211366838891498356,Institutions,ResearchFields,PHYSICS,Physics,
149,UNIVERSIDADE DE LISBOA,138814,,26.12231840421528039141889348889725254046,Institutions,ResearchFields,PHYSICS,Physics,
150,STONY BROOK UNIVERSITY,138096,,31.57201646090534979423868312757201646091,Institutions,ResearchFields,PHYSICS,Physics,
151,SHANDONG UNIVERSITY,137882,,19.01558405737139704868294028409874500069,Institutions,ResearchFields,PHYSICS,Physics,
152,AUSTRALIAN NATIONAL UNIVERSITY,137325,,44.49935191186001296176279974076474400518,Institutions,ResearchFields,PHYSICS,Physics,
153,COLLABORATIVE INNOVATION CENTER OF ADVANCED MICROSTRUCTURES (CICAM),137047,,27.20806035338495135993647012110383164582,Institutions,ResearchFields,PHYSICS,Physics,
154,UNIVERSITY OF SHEFFIELD,136338,,49.18398268398268398268398268398268398268,Institutions,ResearchFields,PHYSICS,Physics,
155,UNIVERSITY OF TRENTO,135991,,38.97707079392376038979650329607337345944,Institutions,ResearchFields,PHYSICS,Physics,
156,MICHIGAN STATE UNIVERSITY,135642,,29.57096141268803139306736429038587311969,Institutions,ResearchFields,PHYSICS,Physics,
157,UNIVERSITE SAVOIE MONT BLANC,135282,,41.28227036924015868172108635947512969179,Institutions,ResearchFields,PHYSICS,Physics,
158,RWTH AACHEN UNIVERSITY,134718,,30.48608282416836388323150033944331296673,Institutions,ResearchFields,PHYSICS,Physics,
159,CALIFORNIA STATE UNIVERSITY SYSTEM,134455,,36.82689674061900849082443166255820323199,Institutions,ResearchFields,PHYSICS,Physics,
160,KING'S COLLEGE LONDON,133433,,44.46284571809396867710763078973675441519,Institutions,ResearchFields,PHYSICS,Physics,
161,UNIVERSITY OF TENNESSEE SYSTEM,133359,,30.44031043140835425701894544624514950924,Institutions,ResearchFields,PHYSICS,Physics,
162,WEIZMANN INSTITUTE OF SCIENCE,133224,,35.44134078212290502793296089385474860335,Institutions,ResearchFields,PHYSICS,Physics,
