row,name,cites,wos_docs,cites_per_paper,groupBy,filterBy,filterValues,subject,institution
35,UNIVERSITY OF MICHIGAN,314693,,63.57434343434343434343434343434343434343,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
36,KAROLINSKA INSTITUTET,311289,,68.93024800708591674047829937998228520815,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
37,BRIGHAM & WOMEN'S HOSPITAL,311282,,83.79057873485868102288021534320323014805,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
38,UTMD ANDERSON CANCER CENTER,304293,,83.11745424747336793225894564326686697624,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
39,UNIVERSITY OF CALIFORNIA LOS ANGELES,300783,,66.98953229398663697104677060133630289532,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
40,CNRS - NATIONAL INSTITUTE FOR BIOLOGY (INSB),294822,,47.39141617103359588490596367143546053689,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
41,UNIVERSITY OF NORTH CAROLINA,292478,,66.03702867464438925265296906750959584556,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
42,WASHINGTON UNIVERSITY (WUSTL),290876,,76.0857964948992937483651582526811404656,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
43,UNIVERSITY SYSTEM OF OHIO,288593,,40.56120871398453970484891075193253689389,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
44,MEMORIAL SLOAN KETTERING CANCER CENTER,281510,,107.323675181090354555852077773541746092,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
45,YALE UNIVERSITY,280037,,62.24427650589019782173816403645254501,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
46,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,279369,,88.51996197718631178707224334600760456274,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
47,UNIVERSITY OF COPENHAGEN,277362,,60.46697187704381948986265533028122956181,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
48,BAYLOR COLLEGE OF MEDICINE,273170,,62.49599633951040951727293525509036833677,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
49,SHANGHAI JIAO TONG UNIVERSITY,268605,,30.33370976849237718802936194240542066629,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
50,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,261300,,70.48826544375505799838144051793903425951,Institutions,ResearchFields,MOLECULAR BIOLOGY & GENETICS,Molecular Biology & Genetics,
